name,year,miles,color,condition,price
BMW 5 Series,2023,"5,533 miles","White exterior, Brown interior","No accidents reported, 1 Owner","$52,292"
BMW 5 Series,2023,"4,341 miles","White exterior, Black interior","No accidents reported, 1 Owner","$51,825"
BMW 5 Series,2023,"6,056 miles","White exterior, Black interior","No accidents reported, 1 Owner","$49,317"
BMW 5 Series,2010,"114,550 miles","White exterior, Black interior","No accidents reported, 3 Owners","$7,995"
BMW 5 Series,2003,"186,816 miles","Black exterior, Black interior","No accidents reported, 8 Owners","$6,997"
BMW 5 Series,2016,"79,905 miles","Gray exterior, White interior","No accidents reported, 2 Owners","$16,498"
BMW 5 Series,2023,"11,651 miles","Black exterior, Black interior","No accidents reported, 2 Owners","$46,888"
BMW 5 Series,2014,"105,006 miles","Gray exterior, Black interior","No accidents reported, 2 Owners","$11,261"
BMW 6 Series,2016,"83,633 miles","Black exterior, Black interior","1 accident reported, 2 Owners","$22,750"
BMW 6 Series,2016,"83,633 miles","Black exterior, Black interior","1 accident reported, 2 Owners","$22,750"
BMW 7 Series,2015,"57,707 miles","White exterior, Black interior","No accidents reported, 3 Owners","$27,998"
BMW 7 Series,2019,"66,896 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$28,624"
BMW 7 Series,2015,"57,707 miles","White exterior, Black interior","No accidents reported, 3 Owners","$27,998"
BMW 7 Series,2016,"78,768 miles","Gray exterior, Brown interior","1 accident reported, 2 Owners","$21,999"
BMW i3,2016,"62,200 miles","White exterior, Gray interior","No accidents reported, 3 Owners","$12,999"
BMW i3,2016,"62,200 miles","White exterior, Gray interior","No accidents reported, 3 Owners","$12,999"
BMW M5,2007,"119,568 miles","Silver exterior, Gray interior","1 accident reported, 5 Owners","$16,400"
BMW M5,2007,"119,568 miles","Silver exterior, Gray interior","1 accident reported, 5 Owners","$16,400"
BMW M5,2018,"36,532 miles","Black exterior, Black interior","1 accident reported, 2 Owners","$53,999"
